,name,clouds,dt,humidity,lat,lon,temp_max,temp_min
0,Severobaykalsk,48,1553731760,76,55.65,55.65,-12.96,-12.96
1,Villa Carlos Paz,75,1553731245,87,-31.42,-31.42,18.33,16.0
2,Thompson,90,1553727600,57,55.74,55.74,-5.0,-5.0
3,Pueblo Nuevo,0,1553731762,36,23.99,23.99,28.92,28.92
4,Empangeni,0,1553731762,84,-28.75,-28.75,21.8,21.8
5,Encruzilhada,56,1553731762,89,-15.53,-15.53,21.92,21.92
6,Busselton,80,1553731521,54,-33.64,-33.64,16.11,13.89
7,Ostrovnoy,88,1553731763,88,68.05,68.05,-1.93,-1.93
8,Vaini,0,1553731746,90,15.34,15.34,19.22,19.22
9,Albany,20,1553731688,17,42.65,42.65,7.0,0.0
10,Portland,75,1553731622,66,45.52,45.52,12.0,7.78
11,Severobaykalsk,48,1553731760,76,55.65,55.65,-12.96,-12.96
12,Villa Carlos Paz,75,1553731245,87,-31.42,-31.42,18.33,16.0
13,Thompson,90,1553727600,57,55.74,55.74,-5.0,-5.0
14,Pueblo Nuevo,0,1553731762,36,23.99,23.99,28.92,28.92
15,Empangeni,0,1553731762,84,-28.75,-28.75,21.8,21.8
16,Encruzilhada,56,1553731762,89,-15.53,-15.53,21.92,21.92
17,Busselton,80,1553731521,54,-33.64,-33.64,16.11,13.89
18,Ostrovnoy,88,1553731763,88,68.05,68.05,-1.93,-1.93
19,Vaini,0,1553731746,90,15.34,15.34,19.22,19.22
20,Albany,20,1553731688,17,42.65,42.65,7.0,0.0
21,Portland,75,1553731622,66,45.52,45.52,12.0,7.78
22,San Patricio,0,1553731731,62,-26.98,-26.98,21.57,21.57
23,Isangel,75,1553727600,74,-19.55,-19.55,28.0,28.0
24,Careiro da Varzea,20,1553727600,74,-3.2,-3.2,29.0,28.0
25,Girua,8,1553731905,66,-28.03,-28.03,21.32,21.32
26,Arraial do Cabo,20,1553727600,69,-22.97,-22.97,26.0,26.0
27,Hobart,20,1553731639,45,-42.88,-42.88,18.89,15.56
28,Dikson,80,1553731619,96,73.51,73.51,-4.21,-4.21
29,Airai,76,1553731905,91,-8.93,-8.93,23.35,23.35
30,Rikitea,100,1553731905,100,-23.12,-23.12,23.77,23.77
31,Mar del Plata,0,1553731906,58,-46.43,-46.43,15.37,15.37
32,Trelew,0,1553731906,40,-43.25,-43.25,22.22,22.22
33,Kabalo,8,1553731906,97,-6.05,-6.05,21.52,21.52
34,Pangai,90,1553727600,88,-19.8,-19.8,26.0,26.0
35,Los Llanos de Aridane,0,1553731502,72,28.66,28.66,17.0,12.22
36,Lumeje,12,1553731906,82,-11.56,-11.56,20.62,20.62
